Hole Depth: ft,Flow In: gal/min,GCT IN Mud Temp: F,GCT OUT Mud Temp: F,Mud Density In: lb/ft3,Mud Density Out: lb/ft3,ROP Average: ft/hr,RPM:,Torque LAS:,WOB: Klb,Standpipe Pressure: psi,QC Delta Carbon Dioxide: ppm
6963,1310.4601028551,172.58,180.68,-999.25,74.0000000078,5.3202,67.8919146252,-999.25,43.0131,3571.5271389145,184.1063999999
6964,1311.0948034552,172.94,181.04,-999.25,74.0000000078,5.3316,68.1505625066,-999.25,43.32,3577.506899724,134.646
6965,1312.2504624392,173.3,181.22,-999.25,74.0000000078,4.9274,67.9171485648,-999.25,43.2876,3572.3321067157,134.2549299999
6966,1312.1837655181,173.12,181.4,-999.25,74.0000000078,5.664,67.9928503838,-999.25,40.1093,3551.4029438823,96.00214
6967,1311.7496283453,173.12,181.4,-999.25,74.0000000078,6.0616,68.0748606876,-999.25,43.0131,3546.5731370745,142.2285300001
6968,1312.3588842834,173.3,181.58,-999.25,74.0000000078,6.2405,67.9865418989,-999.25,43.3007,3543.3532658694,179.8654900001
6969,1311.0948034552,173.66,181.76,-999.25,74.0000000078,8.2488,68.3713594785,-999.25,41.3951,3547.0331186753,225.81908
6970,1310.4601028551,173.84,181.94,-999.25,74.0000000078,6.1702,68.4722952371,-999.25,41.8818,3552.5528978841,271.92596
6971,1310.4879431157,174.2,182.3,-999.25,74.0000000078,8.1495,67.9486909894,-999.25,40.1093,3541.5133394664,288.00987
6972,1310.725935986,174.38,182.48,-999.25,74.0000000078,6.1133,67.8729891704,-999.25,43.0131,3547.493100276,282.99477
6973,1311.5150923722,174.56,182.66,-999.25,74.0000000078,5.4535,68.0117758385,-999.25,43.4516,3539.4434222631,267.60821
6974,1309.8532425156,174.56,182.66,-999.25,74.0000000078,5.8367,65.7029,-999.25,46.4061,3532.3137074517,226.67857
6975,1309.8532425156,174.74,182.66,-999.25,74.0000000078,9.4554,65.7091788455,-999.25,49.0363,3529.5538178473,240.1136
6976,1310.5087126233,174.74,182.84,-999.25,74.0000000078,8.0181,65.5388,-999.25,43.6856,3531.6237350506,251.40116
6977,1311.7742809889,174.74,182.84,-999.25,74.0000000078,8.8156,65.2802,-999.25,40.278,3520.009199632,265.5488
6978,1311.068688007,174.74,183.02,-999.25,74.0000000078,8.3643,65.3432867206,-999.25,40.1093,3521.274149034,292.56951
