DEPTH,WOB,RPM,ROP,GAS,MWO,BIT,Flow-In,Temp,SPP,CO2
7075,25.1909,224.4412751483,30.7028,0.008,9.4387755112,12,1185.9319527932,-10.62,3163.965,149.12431
7076,40.4307,217.0884995999,37.1314,0.008,9.4387755112,12,1189.2870268377,-10.44,3160.465,165.33862
7077,39.6896,215.4849,57.6955999999,0.008,9.4387755112,12,1181.7070848427,-10.26,3156.965,179.755
7078,29.2866,217.5182,21.5689,0.007,9.4387755112,12,1190.6256398,-10.26,3153.465,180.05887
7079,31.8504,218.1496040368,16.5628,0.006,9.4387755112,12,1188.772915114,-10.08,3149.93,211.0182400001
7080,33.2002,218.1701857587,19.1796,0.006,9.4387755112,12,1189.3091813536,-9.9,3146.57,253.954
7081,26.3794,217.7018321783,20.6924,0.004,9.4387755112,12,1189.8214308511,-9.72,3150.05,254.26924
7082,29.373,217.4480580183,26.8622,0.005,9.4387755112,12,1190.7152867739,-9.54,3155.025,285.8355399999
7083,37.4918,217.8316827911,26.0378,0.005,9.4387755112,12,1190.8491287695,-9.72,3157.5425,320.88046
7084,27.8288,218.5198958395,20.8126,0.003,9.4387755112,12,1193.8533139521,-10.62,3161.826,286.9859000001
7085,30.71,217.9272783558,17.9268,0.003,9.4387755112,12,1194.0466428858,-10.26,3165.626,333.21134
7086,30.71,155.6399232174,14.3142,0.003,9.4387755112,12,998.0830733861,-10.08,3169.388,418.42788
7087,30.71,158.323513133,11.7187,0.003,9.4387755112,12,996.4352954012,-10.08,3173.188,421.9011099999
7088,30.71,192.729055331,7.6613,0.003,9.4387755112,12,998.9042224335,-10.08,3176.988,393.6080799999
7089,17.57,213.8536502035,10.8546,0.004,9.4387755112,12,998.0757385835,-9.9,3180.788,305.6746100001
7090,26.18,217.2697573528,20.248,0.004,9.4387755112,12,1193.79770982,-10.44,3184.626,234.158
7091,32.05,217.3252999822,21.5547,0.002,9.4387755112,12,1190.169657103,-10.08,3188.388,233.43615
7092,24.86,211.0172458364,15.1534,0.003,9.4387755112,12,1191.6965887529,-9.54,3192.188,161.88249
7093,31.95,210.8207380464,21.3953,0.002,9.4387755112,12,1191.7370729467,-9.36,3195.988,152.85621
7094,31.04,215.7346719624,17.9885,0.003,9.4387755112,12,1192.2580013734,-9.36,3199.788,146.14986
7095,22.48,215.9428,20.7856,0.002,9.4387755112,12,1192.2574675254,-9.18,3203.588,126.99506
7096,15.85,215.0392711131,18.336,0.002,9.4387755112,12,1192.7230750506,-9.18,3207.426,123.6158
7097,19.29,212.2899898111,16.6333,0.002,9.4387755112,12,1194.2559494639,-9,3211.188,122.67931
7098,22.31,200.1893,13.0584,0.002,9.4387755112,12,1195,-9,3215.102,122.86596
7099,26.07,201.2348118128,14.4787,0.003,9.4387755112,12,1189.8548957145,-8.1,3186.5957957025,116.90145
7100,31.54,208.679861166,16.3334,0.003,9.4387755112,12,1190.0531839787,-8.1,3195,96.72588
7101,24.66,214.5932327557,16.7279,0.003,9.4387755112,12,1189.7850140116,-8.1,3198.5,94.21746
7102,21.62,214.6122569518,18.602,0.005,9.4387755112,12,1190.595214461,-8.1,3150.25,90.374
